epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1773.75,0.43031,1.57254,0.00375,0.89731,0.81028,0.93397,0.87571,0.42225,2.16284,0.00594,0.000990365,0.000990365,0.000990365
43,1812.77,0.48035,1.69053,0.00465,0.90251,0.63204,0.93975,0.86914,0.43746,2.18897,0.0061,0.000973861,0.000973861,0.000973861
44,1852.41,0.45386,1.56867,0.00424,0.90268,0.57117,0.916,0.86231,0.3919,2.13813,0.0051,0.000957358,0.000957358,0.000957358
45,1892.12,0.41337,1.58107,0.00391,0.95381,0.6279,0.90822,0.84263,0.40294,2.11747,0.00534,0.000940855,0.000940855,0.000940855
46,1930.99,0.47778,1.52542,0.00447,0.88082,0.66618,0.94444,0.88698,0.34909,2.08084,0.00453,0.000924352,0.000924352,0.000924352
47,1970.72,0.42706,1.33309,0.00311,0.82698,0.92941,0.95018,0.89338,0.39511,1.95641,0.00539,0.000907848,0.000907848,0.000907848
48,2011.59,0.48154,1.44507,0.00456,0.82964,0.96426,0.95167,0.90181,0.36792,1.82677,0.00508,0.000891345,0.000891345,0.000891345
49,2052.09,0.47594,1.41977,0.00449,0.82587,0.97222,0.94784,0.88982,0.39674,1.77647,0.0058,0.000874842,0.000874842,0.000874842
50,2091.77,0.40242,1.4292,0.00362,0.84966,0.94502,0.94867,0.87789,0.40786,1.68306,0.00591,0.000858338,0.000858338,0.000858338
51,2132.19,0.43433,1.26231,0.00403,0.89273,0.94412,0.94867,0.88833,0.38445,1.58674,0.0052,0.000841835,0.000841835,0.000841835
52,2172.97,0.46618,1.38438,0.00414,0.93297,0.9064,0.94527,0.88223,0.38572,1.56373,0.00524,0.000825332,0.000825332,0.000825332
53,2212.47,0.446,1.36491,0.00401,0.8948,0.91926,0.94527,0.87838,0.39726,1.57457,0.00544,0.000808828,0.000808828,0.000808828
54,2253.65,0.42776,1.3123,0.00392,0.88949,0.87066,0.94867,0.88076,0.36969,1.59671,0.00489,0.000792325,0.000792325,0.000792325
55,2294.45,0.43175,1.31185,0.0038,0.74108,0.93246,0.94347,0.87635,0.39961,1.63358,0.00549,0.000775822,0.000775822,0.000775822
56,2335.46,0.46385,1.27234,0.00441,0.73991,0.93125,0.94347,0.89115,0.39368,1.71365,0.00523,0.000759318,0.000759318,0.000759318
57,2375.85,0.44307,1.21248,0.00377,0.74046,0.93042,0.93464,0.87783,0.38622,1.70272,0.00499,0.000742815,0.000742815,0.000742815
58,2415.15,0.43361,1.31439,0.00404,0.74233,0.93435,0.94097,0.88048,0.40135,1.70798,0.00531,0.000726312,0.000726312,0.000726312
59,2455.45,0.43105,1.16491,0.00395,0.74196,0.93651,0.92764,0.86917,0.40916,1.70034,0.00571,0.000709809,0.000709809,0.000709809
60,2497.26,0.43266,1.13974,0.00416,0.79035,0.89692,0.93814,0.88599,0.37092,1.61522,0.00511,0.000693305,0.000693305,0.000693305
61,2536.2,0.44415,1.15024,0.00393,0.71397,0.94024,0.91911,0.86722,0.33183,1.62595,0.00433,0.000676802,0.000676802,0.000676802
62,2577.05,0.39731,1.0437,0.00326,0.71283,0.97222,0.92887,0.88755,0.31193,1.66713,0.00397,0.000660299,0.000660299,0.000660299
63,2616.06,0.42954,1.12476,0.0036,0.72881,0.89454,0.93134,0.88519,0.31589,1.6805,0.00389,0.000643795,0.000643795,0.000643795
64,3214.85,0.39272,1.16205,0.00335,0.7254,0.82528,0.93354,0.87375,0.3614,1.78919,0.00466,0.000627292,0.000627292,0.000627292
65,3277.59,0.40861,1.00329,0.00323,0.71917,0.74632,0.92256,0.87622,0.35036,1.78606,0.00444,0.000610789,0.000610789,0.000610789
66,3343.16,0.36661,1.09394,0.00306,0.93827,0.68057,0.93986,0.89644,0.34206,1.66395,0.00425,0.000594286,0.000594286,0.000594286
67,3405.2,0.35421,1.0931,0.00307,0.93435,0.73735,0.94478,0.88944,0.31634,1.61223,0.00378,0.000577782,0.000577782,0.000577782
68,3462.62,0.3983,1.07577,0.00349,0.90798,0.75912,0.93736,0.88365,0.34164,1.59368,0.00437,0.000561279,0.000561279,0.000561279
69,3522.74,0.48005,1.2683,0.00403,0.76871,0.8934,0.94447,0.89399,0.36666,1.53213,0.00494,0.000544776,0.000544776,0.000544776
