epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.1911,0.92654,3.24408,1.17325,0.00605,1,0.02762,0.02172,0.52772,3.15893,0.78463,5.001e-05,5.001e-05,5.001e-05
2,62.7268,0.69286,2.92527,1.02424,0.00637,1,0.42957,0.38311,0.50303,3.12482,0.7378,0.000115535,0.000115535,0.000115535
3,91.2162,0.65342,2.53645,0.97493,0.00618,1,0.50398,0.45473,0.48987,3.09088,0.73766,0.000179739,0.000179739,0.000179739
4,120.149,0.70994,2.08041,1.02608,0.00604,1,0.5035,0.44286,0.52501,3.00612,0.77143,0.000242624,0.000242624,0.000242624
5,146.706,0.58217,1.89244,0.95054,0.00596,1,0.50286,0.45552,0.51353,2.93402,0.74765,0.000304187,0.000304187,0.000304187
6,176.763,0.68102,1.48391,0.98323,0.00593,1,0.50231,0.46249,0.50446,2.87831,0.72393,0.000364431,0.000364431,0.000364431
7,203.434,0.64587,1.25074,0.95126,0.00593,1,0.50242,0.46057,0.49907,2.85665,0.72651,0.000423355,0.000423355,0.000423355
8,228.776,0.69908,1.17162,0.97134,0.00593,1,0.50217,0.46418,0.50864,2.83237,0.76162,0.000480958,0.000480958,0.000480958
9,255.734,0.68104,1.10058,0.99276,0.00591,1,0.50163,0.45864,0.56956,2.76754,0.79595,0.000537241,0.000537241,0.000537241
10,282.644,0.64837,0.99134,0.96941,0.97298,0.5,0.50141,0.45604,0.56181,2.63416,0.78793,0.000592203,0.000592203,0.000592203
11,308.216,0.57259,0.96311,0.96205,0.99364,0.5,0.50295,0.46764,0.5102,2.58747,0.75672,0.000645846,0.000645846,0.000645846
12,338.461,0.65551,0.9206,0.96666,1,0.48212,0.89063,0.77543,0.60351,2.46487,0.8276,0.000698168,0.000698168,0.000698168
13,368.214,0.60575,0.91231,0.98224,0.99663,0.5,0.71059,0.64185,0.58996,2.41755,0.79882,0.00074917,0.00074917,0.00074917
14,394.252,0.58181,0.90306,0.93305,0.98522,0.5,0.70458,0.60252,0.59585,2.29488,0.79011,0.000798851,0.000798851,0.000798851
15,419.705,0.60049,0.92426,0.91238,0.98184,0.5,0.995,0.87048,0.57482,2.22773,0.80528,0.000847213,0.000847213,0.000847213
16,446.018,0.61154,0.86571,0.93513,0.97914,0.5,0.995,0.86542,0.56347,2.14727,0.8113,0.000894254,0.000894254,0.000894254
17,471.167,0.58816,0.81668,0.91754,0.97627,0.5,0.995,0.86866,0.5605,2.02834,0.79088,0.000939975,0.000939975,0.000939975
18,498.493,0.59977,0.79942,0.92281,0.96902,0.5,0.995,0.88873,0.54515,1.76285,0.781,0.000984375,0.000984375,0.000984375
19,526.882,0.60059,0.77548,0.90452,0.96775,0.5,0.995,0.87901,0.54875,1.67079,0.79408,0.00102746,0.00102746,0.00102746
20,560.173,0.57763,0.79894,0.90323,0.949,0.95739,0.995,0.8664,0.59164,1.65361,0.8231,0.00106922,0.00106922,0.00106922
21,586.615,0.54985,0.76215,0.92473,0.83277,0.98675,0.995,0.86463,0.58086,1.58188,0.80514,0.00110966,0.00110966,0.00110966
22,612.886,0.58505,0.79204,0.91309,0.89021,0.93761,0.995,0.86367,0.55644,1.40824,0.79398,0.00114877,0.00114877,0.00114877
23,638.785,0.53918,0.8002,0.88279,0.8209,0.9575,0.995,0.87403,0.58287,1.40043,0.81996,0.00118657,0.00118657,0.00118657
24,664.666,0.60544,0.73148,0.93998,0.87704,0.95619,0.995,0.8406,0.60927,1.26334,0.83041,0.00122305,0.00122305,0.00122305
25,690.393,0.56113,0.71874,0.91035,0.83564,0.97208,0.995,0.87604,0.55561,1.24819,0.76972,0.00125821,0.00125821,0.00125821
26,716.076,0.55217,0.73124,0.9397,0.87296,0.89595,0.995,0.86152,0.5588,1.22402,0.78751,0.00125442,0.00125442,0.00125442
27,743.264,0.57622,0.74466,0.92226,0.83796,0.96352,0.995,0.85594,0.57387,1.18634,0.80927,0.00123791,0.00123791,0.00123791
28,770.299,0.55328,0.74345,0.91767,0.96339,1,0.995,0.85624,0.54926,0.94648,0.8385,0.00122141,0.00122141,0.00122141
29,798.282,0.53675,0.7014,0.93756,0.989,1,0.995,0.86148,0.55257,0.87149,0.83606,0.00120491,0.00120491,0.00120491
30,823.591,0.58072,0.72024,0.92982,0.97326,1,0.995,0.8521,0.57135,0.96738,0.78107,0.0011884,0.0011884,0.0011884
31,848.792,0.57908,0.72773,0.93416,0.97546,1,0.995,0.86229,0.55838,0.98404,0.76486,0.0011719,0.0011719,0.0011719
32,874.032,0.49468,0.65211,0.88207,0.9923,1,0.995,0.85755,0.52894,0.90072,0.73933,0.0011554,0.0011554,0.0011554
33,899.225,0.4847,0.71919,0.88433,0.9945,1,0.995,0.87404,0.50267,0.80413,0.72813,0.00113889,0.00113889,0.00113889
34,925.2,0.54161,0.66894,0.88819,0.99377,1,0.995,0.897,0.51418,0.74711,0.73556,0.00112239,0.00112239,0.00112239
35,950.318,0.55895,0.73004,0.94843,0.98904,1,0.995,0.89019,0.50079,0.69398,0.71856,0.00110589,0.00110589,0.00110589
36,975.147,0.4909,0.65142,0.86277,0.98972,1,0.995,0.90482,0.48721,0.68227,0.71356,0.00108938,0.00108938,0.00108938
37,1000.46,0.49673,0.63738,0.88388,0.9939,1,0.995,0.91054,0.43831,0.60507,0.6988,0.00107288,0.00107288,0.00107288
38,1026.05,0.5234,0.73424,0.88537,0.99196,1,0.995,0.9035,0.4504,0.57422,0.70333,0.00105638,0.00105638,0.00105638
39,1051.61,0.50598,0.64183,0.89839,0.98892,1,0.995,0.89071,0.4791,0.58692,0.71258,0.00103987,0.00103987,0.00103987
40,1077,0.53432,0.62681,0.89335,0.98868,1,0.995,0.87621,0.50471,0.57775,0.72079,0.00102337,0.00102337,0.00102337
41,1102.93,0.47241,0.60185,0.85937,0.99092,1,0.995,0.86846,0.5076,0.58314,0.72502,0.00100687,0.00100687,0.00100687
42,1128.95,0.51562,0.59951,0.87743,0.995,1,0.995,0.89899,0.49362,0.60068,0.72736,0.000990365,0.000990365,0.000990365
