epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1289.21,1.11746,0.772,1.08985,0.92797,0.17647,0.37102,0.23715,1.43606,2.13769,1.46079,0.0011486,0.0011486,0.0011486
45,1309.06,1.15982,0.73329,1.11357,0.92797,0.17647,0.37102,0.23715,1.43606,2.13769,1.46079,0.0011288,0.0011288,0.0011288
46,1329.11,1.14316,0.78228,1.11955,0.29917,0.58824,0.35451,0.23526,1.43666,1.98219,1.42684,0.001109,0.001109,0.001109
47,1348.4,1.17597,0.81817,1.13995,0.249,0.41176,0.31839,0.21788,1.40963,2.06048,1.37178,0.0010892,0.0010892,0.0010892
48,1367.75,1.16064,0.83457,1.13935,0.32643,0.52941,0.37198,0.25933,1.39505,2.04385,1.27699,0.0010694,0.0010694,0.0010694
49,1387.38,1.07967,0.74683,1.10071,0.32643,0.52941,0.37198,0.25933,1.39505,2.04385,1.27699,0.0010496,0.0010496,0.0010496
50,1407.03,1.09299,0.76847,1.0544,0.33071,0.58824,0.39821,0.26492,1.41608,1.987,1.30114,0.0010298,0.0010298,0.0010298
51,1428.12,0.99912,0.77981,1.07734,0.73452,0.58824,0.73476,0.4938,1.39655,1.61277,1.30518,0.00101,0.00101,0.00101
52,1448.38,1.0481,0.71361,1.08578,0.97041,0.70588,0.88539,0.51006,1.41925,1.41866,1.34246,0.0009902,0.0009902,0.0009902
53,1468.15,1.05224,0.71899,1.05991,0.97041,0.70588,0.88539,0.51006,1.41925,1.41866,1.34246,0.0009704,0.0009704,0.0009704
54,1488.01,1.06091,0.77493,1.05988,0.8748,0.8221,0.94968,0.49868,1.47857,1.44035,1.41227,0.0009506,0.0009506,0.0009506
55,1507.79,1.08414,0.78411,1.09028,0.84795,0.88235,0.96725,0.51405,1.42712,1.29468,1.38285,0.0009308,0.0009308,0.0009308
56,1527.56,1.01749,0.71226,1.08059,0.88782,0.9316,0.97592,0.61545,1.30547,1.14183,1.27968,0.000911,0.000911,0.000911
57,1547.25,1.12167,0.73167,1.07716,0.88782,0.9316,0.97592,0.61545,1.30547,1.14183,1.27968,0.0008912,0.0008912,0.0008912
58,1567.75,1.20516,0.72371,1.16568,0.94015,0.92478,0.98044,0.64812,1.27637,1.05151,1.27608,0.0008714,0.0008714,0.0008714
59,1587.22,1.01472,0.70404,1.03154,0.98013,0.88235,0.98397,0.63802,1.29395,1.04883,1.2952,0.0008516,0.0008516,0.0008516
60,1606.89,1.05508,0.68338,1.06011,1,0.91866,0.98548,0.6352,1.33777,1.01667,1.33507,0.0008318,0.0008318,0.0008318
61,1627.97,0.91024,0.65316,1.00621,1,0.91866,0.98548,0.6352,1.33777,1.01667,1.33507,0.000812,0.000812,0.000812
62,1649.03,1.05387,0.67821,1.03833,0.94058,0.93166,0.98195,0.58738,1.34248,0.93879,1.3536,0.0007922,0.0007922,0.0007922
63,1669.8,1.05269,0.72556,1.0739,0.94221,0.95974,0.99222,0.57616,1.35298,0.93986,1.35748,0.0007724,0.0007724,0.0007724
64,1691.31,1.08839,0.75673,1.09887,1,0.97254,0.995,0.61541,1.32192,1.10644,1.31473,0.0007526,0.0007526,0.0007526
65,1711.95,0.89513,0.63159,0.98612,1,0.97254,0.995,0.61541,1.32192,1.10644,1.31473,0.0007328,0.0007328,0.0007328
66,1732.73,0.96354,0.66191,1.04035,1,0.88049,0.995,0.62636,1.30114,1.22755,1.30428,0.000713,0.000713,0.000713
67,1753.31,0.97213,0.65017,1.04566,1,0.94758,0.995,0.61762,1.34287,1.15943,1.34693,0.0006932,0.0006932,0.0006932
68,1773.24,1.08951,0.6915,1.05968,0.99568,1,0.995,0.61723,1.36165,1.01449,1.38014,0.0006734,0.0006734,0.0006734
