epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5723,0.78704,3.27048,1.16415,0.00641,1,0.03868,0.03166,0.42206,3.13622,0.68203,5.001e-05,5.001e-05,5.001e-05
2,85.0137,0.5059,2.92959,0.98287,0.0065,1,0.47222,0.47137,0.26712,3.11104,0.63517,0.000115535,0.000115535,0.000115535
3,120.242,0.49877,2.42658,0.93322,0.00634,1,0.48104,0.4733,0.30741,3.0554,0.63902,0.000179739,0.000179739,0.000179739
4,156.696,0.47017,1.91553,0.91031,0.00626,1,0.48098,0.47891,0.34252,2.95996,0.64588,0.000242624,0.000242624,0.000242624
5,206.175,0.42387,1.40288,0.88628,0.00625,1,0.4794,0.47462,0.35965,2.90322,0.65245,0.000304187,0.000304187,0.000304187
6,255.843,0.48454,1.28803,0.91651,0.00625,1,0.47908,0.46412,0.3434,2.88416,0.64541,0.000364431,0.000364431,0.000364431
7,295.703,0.4895,1.06657,0.86985,0.00626,1,0.47813,0.45514,0.33306,2.87702,0.65098,0.000423355,0.000423355,0.000423355
8,337.673,0.49815,1.05766,0.90492,0.00628,1,0.47768,0.4375,0.35866,2.79338,0.64861,0.000480958,0.000480958,0.000480958
9,378.454,0.4841,0.94184,0.89655,0.0063,1,0.48104,0.4681,0.35565,2.70371,0.65712,0.000537241,0.000537241,0.000537241
10,419.549,0.49878,0.88502,0.91468,0.00632,1,0.47742,0.46267,0.35618,2.69932,0.65443,0.000592203,0.000592203,0.000592203
11,461.349,0.4797,0.84329,0.85769,0.0063,1,0.58218,0.56784,0.38258,2.69756,0.66933,0.000645846,0.000645846,0.000645846
12,503.146,0.48432,0.79767,0.88846,0.99899,0.47222,0.86641,0.77878,0.42032,2.50638,0.67842,0.000698168,0.000698168,0.000698168
13,546.057,0.47442,0.76721,0.87762,0.99262,0.47222,0.88981,0.83279,0.36966,2.30511,0.65878,0.00074917,0.00074917,0.00074917
14,590.967,0.42857,0.73802,0.86688,0.97844,0.47222,0.88305,0.84663,0.33309,2.18603,0.64318,0.000798851,0.000798851,0.000798851
15,631.164,0.43237,0.71098,0.87167,0.97828,0.47222,0.88805,0.81015,0.47853,2.16918,0.7039,0.000847213,0.000847213,0.000847213
16,668.004,0.47729,0.69152,0.86497,0.99048,0.47222,0.88353,0.82297,0.45655,2.26574,0.69451,0.000894254,0.000894254,0.000894254
17,708.921,0.48751,0.6948,0.87242,0.97606,0.47222,0.91451,0.85885,0.4229,2.08893,0.67489,0.000939975,0.000939975,0.000939975
18,751.307,0.49526,0.69794,0.88431,0.97389,0.47222,0.93812,0.87863,0.41885,1.90848,0.66962,0.000984375,0.000984375,0.000984375
19,793.748,0.48333,0.70417,0.89787,0.97461,0.47222,0.9358,0.88445,0.38721,1.99987,0.66625,0.00102746,0.00102746,0.00102746
20,832.87,0.44579,0.68713,0.87118,0.97411,0.47222,0.9451,0.89228,0.37581,1.93738,0.65715,0.00106922,0.00106922,0.00106922
21,872.767,0.45924,0.68626,0.89434,0.93209,0.91066,0.94564,0.88356,0.3831,1.60002,0.66034,0.00110966,0.00110966,0.00110966
22,914.399,0.41884,0.6549,0.86716,0.936,0.92199,0.93295,0.86316,0.41678,1.60739,0.67243,0.00114877,0.00114877,0.00114877
23,956.505,0.43075,0.64791,0.86227,0.94088,0.91933,0.93291,0.85279,0.42729,1.53179,0.67549,0.00118657,0.00118657,0.00118657
24,997.278,0.42903,0.63735,0.86406,0.93562,0.9157,0.92822,0.8613,0.40578,1.38958,0.66067,0.00122305,0.00122305,0.00122305
25,1040.54,0.43324,0.62648,0.86937,0.91806,0.91343,0.92443,0.87345,0.36304,1.2997,0.63666,0.00125821,0.00125821,0.00125821
26,1086.84,0.43848,0.6487,0.87288,0.91493,0.92168,0.93098,0.85321,0.39756,1.24805,0.64615,0.00125442,0.00125442,0.00125442
27,1127.86,0.40391,0.66193,0.87042,0.91464,0.94073,0.94867,0.89416,0.38018,1.10489,0.65509,0.00123791,0.00123791,0.00123791
28,1167.27,0.40098,0.62806,0.8788,0.91657,0.97222,0.93683,0.87782,0.39991,0.96623,0.65955,0.00122141,0.00122141,0.00122141
29,1214.6,0.43224,0.64883,0.86691,0.91571,0.96527,0.93683,0.87417,0.34236,0.85853,0.64843,0.00120491,0.00120491,0.00120491
30,1267.16,0.44652,0.63278,0.87409,0.91357,0.94043,0.956,0.87512,0.37938,0.86338,0.65506,0.0011884,0.0011884,0.0011884
31,1312.79,0.43647,0.60815,0.86225,0.91316,0.92735,0.95589,0.88829,0.39845,0.88841,0.65363,0.0011719,0.0011719,0.0011719
32,1358.64,0.41041,0.59313,0.86206,0.91286,0.92714,0.9419,0.88666,0.3518,0.89292,0.63534,0.0011554,0.0011554,0.0011554
