epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.644,1.74054,4.52681,1.19977,0.00032,0.5,0.00965,0.00373,1.57928,4.74613,1.06772,4.287e-05,4.287e-05,4.287e-05
2,71.3023,1.59799,4.09333,1.09774,0.00031,0.5,0.00729,0.0049,1.45687,4.72294,1.01698,9.90397e-05,9.90397e-05,9.90397e-05
3,102.329,1.49527,3.40342,1.05325,0.00044,0.66667,0.01285,0.00541,1.25595,4.66533,0.98787,0.000154078,0.000154078,0.000154078
4,136.125,1.58567,2.69503,1.04004,0.00043,0.66667,0.01832,0.00465,1.38634,4.6177,1.01902,0.000207984,0.000207984,0.000207984
5,167.097,1.61673,2.17702,0.99473,0.00044,0.66667,0.05605,0.0132,1.46248,4.61722,1.07607,0.000260758,0.000260758,0.000260758
6,198.521,1.59308,1.96084,1.00461,0.00044,0.66667,0.06675,0.03327,1.36817,4.50642,0.98405,0.000312401,0.000312401,0.000312401
7,229.52,1.52864,1.75642,1.03663,0.00044,0.66667,0.03341,0.01677,1.38331,4.4341,0.98421,0.000362912,0.000362912,0.000362912
8,261.469,1.45032,1.55251,1.01003,0.33367,0.51802,0.02326,0.0143,1.35067,4.37425,1.00102,0.000412291,0.000412291,0.000412291
9,292.962,1.40599,1.41719,1.02193,0.33368,0.57207,0.07481,0.05715,1.35454,4.28361,1.0015,0.000460538,0.000460538,0.000460538
10,325.109,1.37778,1.36974,1.02419,0.3337,0.5991,0.1044,0.07222,1.36063,4.27349,0.99991,0.000507654,0.000507654,0.000507654
11,357.078,1.41477,1.41263,1.03427,0.33369,0.5991,0.10656,0.06431,1.44455,4.28333,1.02515,0.000553637,0.000553637,0.000553637
12,390.056,1.38009,1.30149,1.01902,0.33378,0.76577,0.10652,0.0598,1.51447,4.21871,1.06185,0.000598489,0.000598489,0.000598489
13,423.494,1.41552,1.28496,1.00819,0.33378,0.79279,0.14192,0.09707,1.39703,4.07217,1.01269,0.00064221,0.00064221,0.00064221
14,468.87,1.27457,1.23321,1.01048,0.33378,0.8018,0.15377,0.10612,1.42056,4.00088,1.02906,0.000684798,0.000684798,0.000684798
15,516.186,1.39772,1.34637,1.06758,0.28044,0.85586,0.2284,0.15486,1.3833,3.79499,1.05112,0.000726255,0.000726255,0.000726255
16,561.156,1.33376,1.29464,1.022,0.2799,0.73423,0.25121,0.15754,1.32735,3.73033,1.02664,0.00076658,0.00076658,0.00076658
17,602.606,1.31534,1.2282,1.01392,0.23061,0.92793,0.41257,0.28496,1.33289,3.61434,1.03053,0.000805773,0.000805773,0.000805773
18,642.599,1.3228,1.1623,1.0172,0.19772,0.92793,0.25165,0.14792,1.44574,3.41874,1.05306,0.000843835,0.000843835,0.000843835
19,682.922,1.2356,1.17712,1.0048,0.20537,0.62162,0.2576,0.1415,1.49905,3.44295,1.05092,0.000880764,0.000880764,0.000880764
20,723.523,1.32804,1.18387,1.00235,0.23154,0.63964,0.28166,0.14534,1.52453,3.40362,1.07434,0.000916562,0.000916562,0.000916562
21,761.396,1.23873,1.1013,0.99242,0.13517,0.63964,0.43414,0.19162,1.41378,3.11616,1.099,0.000951228,0.000951228,0.000951228
22,801.162,1.27874,1.13858,1.01714,0.10235,0.63964,0.42756,0.18703,1.42752,3.02121,1.1169,0.000984762,0.000984762,0.000984762
23,838.207,1.36156,1.12922,1.04109,0.09165,0.63964,0.43397,0.22166,1.41773,2.82123,1.08411,0.00101717,0.00101717,0.00101717
24,873.298,1.31149,1.05039,0.97861,0.98871,0.14414,0.463,0.23151,1.39078,2.60759,1.03384,0.00104844,0.00104844,0.00104844
25,908.643,1.22803,1.03863,0.98091,0.99232,0.32503,0.4697,0.2278,1.39546,2.39292,1.0301,0.00107857,0.00107857,0.00107857
26,949.483,1.21513,1.02221,1.006,0.92724,0.36936,0.45352,0.21982,1.4532,2.36148,1.10461,0.00107532,0.00107532,0.00107532
27,986.679,1.25921,1.05174,0.98088,0.79125,0.44595,0.45271,0.20363,1.42679,2.4559,1.09131,0.00106118,0.00106118,0.00106118
28,1028.47,1.20033,1.02715,0.99534,1,0.19363,0.45825,0.19718,1.39247,2.25051,1.05758,0.00104703,0.00104703,0.00104703
29,1067.01,1.21437,1.02573,1.0178,0.92348,0.42471,0.46984,0.20427,1.41049,1.87967,1.04456,0.00103288,0.00103288,0.00103288
30,1103.94,1.21013,1.00049,0.99947,0.89808,0.40499,0.46901,0.22122,1.39556,1.6414,1.07223,0.00101873,0.00101873,0.00101873
31,1140.82,1.22457,1.02256,0.98276,0.87374,0.44696,0.46434,0.22312,1.3567,1.60884,1.03974,0.00100459,0.00100459,0.00100459
32,1176.58,1.17477,1.0592,0.98153,0.95087,0.5547,0.63044,0.25126,1.35886,1.62761,1.0379,0.00099044,0.00099044,0.00099044
33,1212.41,1.17892,0.9645,0.97787,0.95301,0.55824,0.6327,0.27077,1.36962,1.59524,1.03644,0.000976293,0.000976293,0.000976293
34,1250.02,1.1991,1.01648,0.99732,0.97137,0.59833,0.63231,0.26491,1.33769,1.42549,1.03452,0.000962146,0.000962146,0.000962146
35,1286.31,1.12071,0.95324,0.98066,0.95227,0.5922,0.62418,0.25671,1.36645,1.39958,1.03556,0.000947999,0.000947999,0.000947999
36,1324.67,1.20088,0.92888,0.96157,0.94607,0.60472,0.62729,0.25565,1.45604,1.37504,1.0456,0.000933851,0.000933851,0.000933851
37,1356.14,1.15851,0.93903,0.98243,0.81035,0.62162,0.56777,0.22848,1.48599,1.28734,1.04876,0.000919704,0.000919704,0.000919704
38,1388.14,1.09419,0.91027,0.93817,0.82911,0.61052,0.57395,0.24305,1.44563,1.26529,1.03853,0.000905557,0.000905557,0.000905557
39,1421.42,1.10942,0.90955,0.95854,0.93006,0.35586,0.52768,0.25258,1.46496,1.28877,1.06964,0.00089141,0.00089141,0.00089141
40,1453.98,1.12231,0.89018,0.95151,0.73181,0.57658,0.52123,0.24746,1.44932,1.2917,1.08871,0.000877263,0.000877263,0.000877263
41,1485.4,1.16038,0.90035,0.97962,0.74192,0.55019,0.51794,0.2234,1.41212,1.26076,1.08768,0.000863116,0.000863116,0.000863116
42,1517.73,1.08483,0.89647,0.94961,0.72764,0.55729,0.51601,0.23046,1.36631,1.236,1.06349,0.000848969,0.000848969,0.000848969
43,1549.05,1.10915,0.89781,0.95654,0.74922,0.5744,0.5327,0.26071,1.3296,1.19894,1.04825,0.000834822,0.000834822,0.000834822
44,1581.36,1.15036,0.92368,0.97925,0.76642,0.59459,0.54402,0.26885,1.32639,1.1594,1.04613,0.000820675,0.000820675,0.000820675
45,1613.51,1.09316,0.8835,0.95361,0.75571,0.6036,0.55298,0.26998,1.33411,1.12484,1.05253,0.000806528,0.000806528,0.000806528
46,1645.01,1.09062,0.87977,0.95251,0.83723,0.6036,0.58366,0.28563,1.35997,1.11629,1.05677,0.00079238,0.00079238,0.00079238
