epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1105.9,1.02163,0.68311,1.03342,0.91034,0.76471,0.84479,0.46738,1.52034,1.68254,1.42079,0.0014324,0.0014324,0.0014324
45,1127.72,1.05779,0.71702,1.06688,0.91034,0.76471,0.84479,0.46738,1.52034,1.68254,1.42079,0.0014192,0.0014192,0.0014192
46,1150.03,1.04482,0.73929,1.093,0.88628,0.76471,0.84643,0.50049,1.4497,1.72908,1.42347,0.001406,0.001406,0.001406
47,1172.97,1.09178,0.74633,1.09135,0.93327,0.8228,0.88394,0.5384,1.41159,1.57729,1.36477,0.0013928,0.0013928,0.0013928
48,1196.26,1.07379,0.6917,1.04088,0.86943,0.78419,0.86415,0.49725,1.44754,1.46825,1.4165,0.0013796,0.0013796,0.0013796
49,1218.19,1.0685,0.77319,1.0948,0.86943,0.78419,0.86415,0.49725,1.44754,1.46825,1.4165,0.0013664,0.0013664,0.0013664
50,1240.63,0.94248,0.65555,0.99711,0.93607,0.86221,0.89477,0.49383,1.38972,1.32872,1.33581,0.0013532,0.0013532,0.0013532
51,1266.57,1.00436,0.67754,1.02034,0.93542,0.85298,0.88875,0.49278,1.46551,1.42293,1.29631,0.00134,0.00134,0.00134
52,1289.56,0.98029,0.68026,0.99557,1,0.86768,0.89111,0.52668,1.51819,1.43579,1.29853,0.0013268,0.0013268,0.0013268
53,1311.58,0.99352,0.70306,1.03228,1,0.86768,0.89111,0.52668,1.51819,1.43579,1.29853,0.0013136,0.0013136,0.0013136
54,1334.55,1.06573,0.67843,1.07379,0.99432,0.88235,0.89875,0.53629,1.45208,1.24651,1.29699,0.0013004,0.0013004,0.0013004
55,1357.62,0.973,0.68844,1.03172,1,0.87391,0.9047,0.54132,1.4659,1.21801,1.31229,0.0012872,0.0012872,0.0012872
56,1380.39,1.0663,0.6722,1.03558,0.92703,0.88235,0.90587,0.54855,1.46633,1.12472,1.33819,0.001274,0.001274,0.001274
