epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,873.171,0.53778,6.30177,0.00665,0.9627,0.24899,0.928,0.8411,0.44949,4.81411,0.00656,0.000548355,0.000548355,0.000548355
2,1642.15,0.47587,3.89806,0.00593,0.94215,0.95235,0.98484,0.91191,0.39867,2.2645,0.00606,0.000994724,0.000994724,0.000994724
3,2557.83,0.45301,2.46829,0.00551,0.97856,0.9298,0.9882,0.92981,0.39434,1.38921,0.00626,0.00133107,0.00133107,0.00133107
4,3399.02,0.43098,1.57874,0.00539,0.98122,0.98078,0.9896,0.91689,0.40378,0.93977,0.00671,0.0011719,0.0011719,0.0011719
5,4182.26,0.40824,1.06474,0.00497,0.86444,0.97786,0.97867,0.91143,0.30893,0.70032,0.00419,0.00100687,0.00100687,0.00100687
6,4915.84,0.33683,0.76257,0.00406,0.97768,0.98232,0.98821,0.94713,0.28645,0.51227,0.00464,0.000841835,0.000841835,0.000841835
7,5679.8,0.29856,0.57517,0.00363,0.95211,0.98621,0.98783,0.95938,0.21866,0.42498,0.00325,0.000676802,0.000676802,0.000676802
8,6421.27,0.26942,0.47984,0.00329,0.98793,0.99385,0.99151,0.97043,0.20411,0.31684,0.00308,0.000511769,0.000511769,0.000511769
9,7233.36,0.24146,0.41415,0.00286,0.98535,0.9954,0.99166,0.96923,0.21954,0.29695,0.00329,0.000346736,0.000346736,0.000346736
10,7983.02,0.23486,0.38139,0.00287,0.98124,0.99335,0.99147,0.96938,0.22859,0.31126,0.00358,0.000181703,0.000181703,0.000181703
