epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6094,0.86294,4.45784,1.1336,0,0,0,0,0.60409,4.59032,0.7918,2e-05,2e-05,2e-05
2,29.4181,0.75261,4.45024,0.93383,0,0,0,0,0.54405,4.59874,0.78628,5.9406e-05,5.9406e-05,5.9406e-05
3,41.2851,0.45626,4.2344,0.86791,0,0,0,0,0.53514,4.59144,0.80732,9.802e-05,9.802e-05,9.802e-05
4,52.0891,0.64071,3.99306,0.9622,0,0,0,0,0.68394,4.57437,0.88896,0.000135842,0.000135842,0.000135842
5,62.6846,0.67658,3.46898,0.99718,0,0,0,0,0.7199,4.54555,0.914,0.000172872,0.000172872,0.000172872
6,73.1684,0.69805,3.32095,0.9901,0,0,0,0,0.62755,4.46496,0.84645,0.00020911,0.00020911,0.00020911
7,83.8475,0.74334,2.58243,1.02199,0,0,0,0,0.53139,4.41277,0.81494,0.000244556,0.000244556,0.000244556
8,95.0077,0.8482,1.20448,1.04742,0,0,0,0,0.52773,4.37162,0.79655,0.00027921,0.00027921,0.00027921
9,107.361,0.72736,1.45784,0.93745,0,0,0,0,0.57585,4.38454,0.79632,0.000313072,0.000313072,0.000313072
10,119.13,0.79834,1.82171,1.20095,0,0,0,0,0.62855,4.36816,0.8362,0.000346142,0.000346142,0.000346142
11,131.803,0.90082,1.31308,1.26,0,0,0,0,0.63047,4.45104,0.91771,0.00037842,0.00037842,0.00037842
12,143.898,0.86381,1.8829,1.31409,0,0,0,0,0.64041,4.28258,0.89516,0.000409906,0.000409906,0.000409906
13,157.033,0.78695,1.20974,1.10286,1,0.25,0.245,0.245,0.61733,4.07602,0.85472,0.0004406,0.0004406,0.0004406
14,169.583,0.65534,0.84207,0.93228,1,0.5,0.495,0.3955,0.65936,3.93242,0.88379,0.000470502,0.000470502,0.000470502
15,180.81,0.77608,1.04359,1.06723,1,0.75,0.745,0.6205,0.76501,3.78506,0.94287,0.000499612,0.000499612,0.000499612
16,191.729,0.55989,1.38963,0.9521,1,0.75,0.745,0.60825,0.74635,3.77913,0.93117,0.00052793,0.00052793,0.00052793
17,202.73,0.69869,0.70784,1.05559,1,0.25,0.245,0.196,0.70717,4.10472,0.90417,0.000555456,0.000555456,0.000555456
18,213.652,0.64111,0.78248,0.99285,1,0.25,0.245,0.196,0.75054,4.36093,1.06166,0.00058219,0.00058219,0.00058219
19,223.973,0.70504,0.99953,1.05335,1,0.25,0.245,0.196,0.79545,4.25602,1.18097,0.000608132,0.000608132,0.000608132
20,234.508,0.63684,0.76896,0.94096,1,0.25,0.245,0.196,0.7464,4.02687,1.17312,0.000633282,0.000633282,0.000633282
21,245.418,0.69237,0.72825,1.02989,1,0.25,0.245,0.196,0.73096,3.8715,1.24019,0.00065764,0.00065764,0.00065764
22,256.227,0.56697,0.6916,0.998,1,0.5,0.495,0.35875,0.83689,3.95255,1.25269,0.000681206,0.000681206,0.000681206
23,267.601,0.78531,0.81446,1.00407,1,0.5,0.495,0.396,0.88037,4.15868,1.14727,0.00070398,0.00070398,0.00070398
24,292.978,0.63654,0.75627,0.92307,1,0.5,0.495,0.396,0.88085,4.1569,1.14698,0.000725962,0.000725962,0.000725962
25,304.783,0.78722,0.75347,0.98596,1,0.5,0.495,0.4455,0.82752,3.79772,0.88953,0.000747152,0.000747152,0.000747152
26,316.424,0.7657,0.74228,1.03997,1,0.75,0.745,0.695,0.67643,3.69819,0.81578,0.00076755,0.00076755,0.00076755
27,328.691,0.72213,0.64958,0.96814,1,0.5,0.495,0.4455,0.67594,3.81073,0.85955,0.000787156,0.000787156,0.000787156
28,342.101,0.74642,0.7737,0.93734,1,0.5,0.495,0.4455,0.67594,3.81073,0.85955,0.00080597,0.00080597,0.00080597
29,353.932,0.76966,0.75382,0.96982,1,1,0.995,0.83667,0.72444,3.36406,1.01509,0.000823992,0.000823992,0.000823992
30,366.537,0.58867,0.644,0.83244,1,0.75,0.745,0.64125,0.76186,3.23977,1.23705,0.000841222,0.000841222,0.000841222
31,380.199,0.7343,0.68506,0.90011,1,0.75,0.745,0.64125,0.76186,3.23977,1.23705,0.00085766,0.00085766,0.00085766
32,393.485,0.6482,0.72312,0.90655,1,0.75,0.745,0.66167,0.82665,3.30715,1.33372,0.000873306,0.000873306,0.000873306
33,404.689,0.68563,0.71107,0.96416,1,0.5,0.495,0.4205,0.96243,3.90147,1.33858,0.00088816,0.00088816,0.00088816
34,415.333,0.62466,0.69901,0.94026,1,0.5,0.495,0.4205,0.96243,3.90147,1.33858,0.000902222,0.000902222,0.000902222
35,426.366,0.68597,0.67429,0.93191,0.75,0.75,0.745,0.6455,0.76352,3.57025,1.10538,0.000915492,0.000915492,0.000915492
36,439.195,0.57968,0.63656,0.86733,0.25,0.75,0.745,0.6455,0.75221,3.32432,0.98573,0.00092797,0.00092797,0.00092797
37,451.417,0.69527,0.75774,0.93089,0.25,0.75,0.745,0.6455,0.75221,3.32432,0.98573,0.000939656,0.000939656,0.000939656
38,462.568,0.68958,0.68745,0.93598,0.14286,0.75,0.6825,0.57075,0.68818,3.18626,0.91323,0.00095055,0.00095055,0.00095055
39,473.064,0.65584,1.06445,0.86198,0.18182,1,0.67208,0.52933,0.85317,2.93638,0.90841,0.000960652,0.000960652,0.000960652
40,483.5,0.78205,0.86733,0.95105,0.18182,1,0.67208,0.52933,0.85317,2.93638,0.90841,0.000969962,0.000969962,0.000969962
41,495.665,0.73108,0.95587,1.02058,0.62092,0.82845,0.66333,0.52383,0.71473,2.34324,0.87353,0.00097848,0.00097848,0.00097848
42,506.514,0.77093,0.73272,1.01278,0.88127,1,0.995,0.858,0.56741,1.7103,0.83505,0.000986206,0.000986206,0.000986206
43,517.599,0.86241,0.83831,1.0375,0.88127,1,0.995,0.858,0.56741,1.7103,0.83505,0.00099314,0.00099314,0.00099314
44,528.429,0.66133,0.62488,0.82675,0.93351,1,0.995,0.85188,0.63077,1.45686,0.91892,0.000999282,0.000999282,0.000999282
45,538.794,0.57864,0.63234,0.91322,0.93351,1,0.995,0.85188,0.63077,1.45686,0.91892,0.00100463,0.00100463,0.00100463
46,549.122,0.67788,0.6536,0.9283,0.96126,1,0.995,0.80212,0.68665,1.41278,1.18934,0.00100919,0.00100919,0.00100919
47,559.76,0.55881,0.84362,1.02009,0.96126,1,0.995,0.80212,0.68665,1.41278,1.18934,0.00101296,0.00101296,0.00101296
48,569.998,0.69061,0.97668,0.99177,0.94028,1,0.995,0.77087,0.7448,1.18236,1.21289,0.00101593,0.00101593,0.00101593
49,581.266,0.63453,0.70071,0.95616,0.94028,1,0.995,0.77087,0.7448,1.18236,1.21289,0.00101811,0.00101811,0.00101811
