epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3146,0.95475,3.79829,1.27926,0.00167,0.5,0.04453,0.01904,0.96488,3.7858,1.3573,1.667e-05,1.667e-05,1.667e-05
2,31.6067,0.76525,3.73356,1.14276,0.00167,0.5,0.39338,0.31266,0.83157,3.47172,1.10913,4.95149e-05,4.95149e-05,4.95149e-05
3,47.4019,0.62952,3.45055,0.98444,0.00167,0.5,0.4975,0.4274,0.69457,3.19767,0.88341,8.16997e-05,8.16997e-05,8.16997e-05
4,63.2034,0.76613,3.21405,1.07348,0.00167,0.5,0.4975,0.42704,0.7008,3.18442,0.84982,0.000113224,0.000113224,0.000113224
5,79.7506,0.6856,2.96002,1.00297,0.00167,0.5,0.4975,0.43465,0.58749,3.14399,0.8172,0.000144089,0.000144089,0.000144089
6,99.0624,0.67592,2.52388,0.98065,0.00167,0.5,0.4975,0.456,0.53275,3.14088,0.8059,0.000174293,0.000174293,0.000174293
7,117.079,0.76504,2.28184,1.07296,0.00167,0.5,0.4975,0.45508,0.53836,3.1105,0.82111,0.000203837,0.000203837,0.000203837
8,133.219,0.71943,1.81759,1.02493,0.00167,0.5,0.4975,0.42842,0.5942,3.09473,0.85602,0.000232722,0.000232722,0.000232722
9,148.662,0.67354,1.55853,0.96134,0.00167,0.5,0.4975,0.41592,0.6503,3.07951,0.85874,0.000260946,0.000260946,0.000260946
10,164.921,0.62118,1.29106,0.9166,0.00167,0.5,0.4975,0.41317,0.77209,3.0617,0.88582,0.000288509,0.000288509,0.000288509
11,180.562,0.71107,1.36168,0.97575,0.00167,0.5,0.4975,0.41037,0.68259,3.04355,0.88157,0.000315413,0.000315413,0.000315413
12,196.531,0.70675,1.20464,0.99121,0.00167,0.5,0.4975,0.44775,0.58679,3.01596,0.86572,0.000341657,0.000341657,0.000341657
13,214.831,0.64942,1.09763,0.94915,0.00167,0.5,0.4975,0.43558,0.62078,2.96486,0.88087,0.00036724,0.00036724,0.00036724
14,231.593,0.6232,0.92029,0.91557,0.00167,0.5,0.4975,0.43723,0.69227,2.99946,0.91032,0.000392163,0.000392163,0.000392163
15,245.085,0.64973,1.08245,1.01937,0.00167,0.5,0.4975,0.42111,0.75493,2.97754,0.91214,0.000416427,0.000416427,0.000416427
16,258.117,0.68817,0.97356,0.97899,0.00167,0.5,0.4975,0.4306,0.7376,2.95108,0.90928,0.00044003,0.00044003,0.00044003
17,271.637,0.6211,0.92436,0.87939,0.00167,0.5,0.4975,0.44912,0.63572,2.91124,0.88863,0.000462973,0.000462973,0.000462973
18,285.087,0.68402,1.01302,1.01235,0.00167,0.5,0.4975,0.44942,0.63656,2.91736,0.89381,0.000485255,0.000485255,0.000485255
19,297.923,0.63951,0.93136,0.95324,0.00167,0.5,0.4975,0.42979,0.66879,2.8328,0.88126,0.000506878,0.000506878,0.000506878
20,310.749,0.61702,0.83876,0.96127,0.00167,0.5,0.4975,0.42429,0.60417,2.78793,0.84813,0.000527841,0.000527841,0.000527841
21,323.58,0.67672,0.87808,0.9502,0.00167,0.5,0.4975,0.42017,0.71446,2.75317,0.85273,0.000548143,0.000548143,0.000548143
22,336.401,0.64331,0.81222,0.9475,0.00167,0.5,0.4975,0.42182,0.78175,2.85209,0.86098,0.000567785,0.000567785,0.000567785
23,349.499,0.66385,0.80899,0.95737,0.00167,0.5,0.4975,0.43696,0.71159,2.83876,0.85706,0.000586767,0.000586767,0.000586767
24,362.135,0.63665,0.83042,0.98186,0.00167,0.5,0.4975,0.4404,0.70611,2.8029,0.85406,0.000605089,0.000605089,0.000605089
25,374.713,0.66512,0.90233,0.96756,0.00167,0.5,0.4975,0.39271,0.93656,2.83903,0.92475,0.000622751,0.000622751,0.000622751
26,389.256,0.62256,0.86277,0.94438,0.00167,0.5,0.4975,0.39308,1.02632,2.84862,0.98987,0.000639753,0.000639753,0.000639753
27,402.055,0.64252,0.92116,0.94735,0.50167,0.75,0.745,0.63217,0.72782,2.65278,0.88074,0.000656095,0.000656095,0.000656095
28,414.63,0.57347,0.87973,0.91632,0.50167,0.75,0.745,0.63217,0.72782,2.65278,0.88074,0.000671776,0.000671776,0.000671776
29,427.136,0.63868,0.82176,0.93377,0.94118,0.5,0.745,0.60069,0.76805,2.49574,0.87019,0.000686797,0.000686797,0.000686797
30,440.899,0.63561,0.77865,0.9346,0.97901,0.5,0.62125,0.51646,0.82691,2.36089,0.87998,0.000701159,0.000701159,0.000701159
31,454.156,0.62078,0.78797,0.92923,0.97901,0.5,0.62125,0.51646,0.82691,2.36089,0.87998,0.00071486,0.00071486,0.00071486
32,467.054,0.61059,0.81139,0.97406,0.96811,0.5,0.745,0.6343,0.76795,2.40234,0.86535,0.000727901,0.000727901,0.000727901
33,479.723,0.6663,0.8182,0.9298,0.97248,0.5,0.745,0.68567,0.66269,2.40696,0.8794,0.000740281,0.000740281,0.000740281
34,492.329,0.56156,0.7432,0.91631,0.97248,0.5,0.745,0.68567,0.66269,2.40696,0.8794,0.000752002,0.000752002,0.000752002
35,505.252,0.62027,0.78658,0.94741,0.96684,0.5,0.745,0.68287,0.71194,2.35717,0.92105,0.000763063,0.000763063,0.000763063
36,518.044,0.64097,0.80441,0.94538,0.96367,0.5,0.745,0.65054,0.75557,2.29824,0.90438,0.000773463,0.000773463,0.000773463
37,531.454,0.657,0.79487,0.95998,0.96367,0.5,0.745,0.65054,0.75557,2.29824,0.90438,0.000783203,0.000783203,0.000783203
38,545.299,0.55178,0.70396,0.94441,0.95843,0.5,0.62125,0.5495,0.72578,2.25302,0.91903,0.000792283,0.000792283,0.000792283
39,560.112,0.65205,0.79725,0.95039,0.55071,0.59815,0.62125,0.55087,0.7089,2.19525,0.9474,0.000800703,0.000800703,0.000800703
40,574.402,0.62826,0.75409,0.94194,0.55071,0.59815,0.62125,0.55087,0.7089,2.19525,0.9474,0.000808463,0.000808463,0.000808463
41,587.6,0.60365,0.84377,0.97517,0.48114,0.53278,0.62125,0.54717,0.67601,2.09744,0.92428,0.000815563,0.000815563,0.000815563
42,601.977,0.54936,0.66851,0.88816,0.95598,0.5,0.62125,0.51796,0.73588,2.14442,0.93206,0.000822003,0.000822003,0.000822003
43,615.152,0.57837,0.70404,0.92375,0.95598,0.5,0.62125,0.51796,0.73588,2.14442,0.93206,0.000827782,0.000827782,0.000827782
44,628.4,0.57254,0.71468,0.93685,0.96075,0.5,0.82917,0.55954,0.73522,2.04426,0.93786,0.000832902,0.000832902,0.000832902
45,643.249,0.56261,0.6897,0.88208,0.96075,0.5,0.82917,0.55954,0.73522,2.04426,0.93786,0.000837361,0.000837361,0.000837361
46,656.449,0.6431,0.70099,0.91555,0.9703,0.5,0.74625,0.60087,0.63338,1.93212,0.9094,0.00084116,0.00084116,0.00084116
47,669.203,0.58067,0.72231,0.96051,0.9703,0.5,0.74625,0.60087,0.63338,1.93212,0.9094,0.000844299,0.000844299,0.000844299
48,683.531,0.50175,0.67668,0.90827,0.72621,0.75,0.74625,0.58304,0.66796,1.97591,0.94673,0.000846778,0.000846778,0.000846778
49,697.82,0.52644,0.70527,0.90309,0.72621,0.75,0.74625,0.58304,0.66796,1.97591,0.94673,0.000848596,0.000848596,0.000848596
50,713.59,0.60617,0.702,0.94282,0.72916,0.75,0.62125,0.51607,0.68838,2.01322,0.97148,0.000849755,0.000849755,0.000849755
51,728.427,0.64549,0.72547,0.93298,0.72916,0.75,0.62125,0.51607,0.68838,2.01322,0.97148,0.000841835,0.000841835,0.000841835
52,741.347,0.57783,0.75434,0.93822,0.60856,0.69813,0.58554,0.48948,0.65878,2.11632,0.97751,0.000825332,0.000825332,0.000825332
53,754.889,0.55576,0.70709,0.90758,0.60856,0.69813,0.58554,0.48948,0.65878,2.11632,0.97751,0.000808828,0.000808828,0.000808828
54,768.336,0.55012,0.68075,0.89123,0.62875,0.75,0.58554,0.52216,0.65504,1.79995,0.95075,0.000792325,0.000792325,0.000792325
55,781.52,0.52116,0.68491,0.91703,0.62875,0.75,0.58554,0.52216,0.65504,1.79995,0.95075,0.000775822,0.000775822,0.000775822
56,794.599,0.57988,0.72313,0.94855,0.62108,0.75,0.59768,0.54925,0.64584,1.34854,0.98259,0.000759318,0.000759318,0.000759318
57,807.097,0.58402,0.65124,0.9484,0.62108,0.75,0.59768,0.54925,0.64584,1.34854,0.98259,0.000742815,0.000742815,0.000742815
58,819.813,0.55661,0.62624,0.88501,0.71171,0.75,0.745,0.67804,0.68267,0.94601,1.06125,0.000726312,0.000726312,0.000726312
59,833.126,0.52518,0.62087,0.87476,0.71171,0.75,0.745,0.67804,0.68267,0.94601,1.06125,0.000709809,0.000709809,0.000709809
60,847.163,0.6495,0.79851,0.97807,0.71455,0.75,0.745,0.70775,0.70399,0.84617,1.06428,0.000693305,0.000693305,0.000693305
61,860.122,0.50339,0.61877,0.87855,0.71455,0.75,0.745,0.70775,0.70399,0.84617,1.06428,0.000676802,0.000676802,0.000676802
62,873.213,0.55526,0.64526,0.92026,0.70598,0.75,0.745,0.70658,0.76362,0.91983,1.06121,0.000660299,0.000660299,0.000660299
63,886.327,0.55554,0.62473,0.92118,0.70598,0.75,0.745,0.70658,0.76362,0.91983,1.06121,0.000643795,0.000643795,0.000643795
64,899.083,0.51661,0.61211,0.88064,0.70704,0.75,0.62125,0.58708,0.85106,0.87349,1.1752,0.000627292,0.000627292,0.000627292
65,911.676,0.49244,0.61677,0.89463,0.70704,0.75,0.62125,0.58708,0.85106,0.87349,1.1752,0.000610789,0.000610789,0.000610789
66,924.919,0.54197,0.63647,0.91555,0.72999,0.75,0.745,0.7168,0.78835,0.78667,1.17508,0.000594286,0.000594286,0.000594286
67,938.165,0.50321,0.61309,0.92562,0.72999,0.75,0.745,0.7168,0.78835,0.78667,1.17508,0.000577782,0.000577782,0.000577782
68,951.438,0.50149,0.61636,0.88565,0.79444,0.75,0.745,0.69194,0.76465,0.69393,1.1601,0.000561279,0.000561279,0.000561279
69,964.435,0.5307,0.71113,0.88379,0.79444,0.75,0.745,0.69194,0.76465,0.69393,1.1601,0.000544776,0.000544776,0.000544776
70,977.71,0.49081,0.60842,0.91155,0.76441,0.75,0.745,0.67207,0.83222,0.76042,1.20345,0.000528272,0.000528272,0.000528272
71,990.639,0.55626,0.60537,0.90137,0.76441,0.75,0.745,0.67207,0.83222,0.76042,1.20345,0.000511769,0.000511769,0.000511769
72,1004.5,0.50643,0.56351,0.86846,0.73505,0.75,0.745,0.67883,0.79574,0.79962,1.16609,0.000495266,0.000495266,0.000495266
73,1017.49,0.48605,0.56065,0.8704,0.73505,0.75,0.745,0.67883,0.79574,0.79962,1.16609,0.000478762,0.000478762,0.000478762
74,1030.69,0.50744,0.5866,0.89739,0.7309,0.75,0.77441,0.69844,0.72332,0.80766,1.14285,0.000462259,0.000462259,0.000462259
75,1043.77,0.48405,0.55968,0.84081,0.7309,0.75,0.77441,0.69844,0.72332,0.80766,1.14285,0.000445756,0.000445756,0.000445756
76,1057.53,0.49631,0.59206,0.89785,0.73337,0.75,0.78667,0.67775,0.75242,0.80208,1.15863,0.000429253,0.000429253,0.000429253
77,1070.63,0.51293,0.56856,0.90836,0.73337,0.75,0.78667,0.67775,0.75242,0.80208,1.15863,0.000412749,0.000412749,0.000412749
78,1083.14,0.54066,0.62833,0.92012,0.73936,0.75,0.79045,0.66355,0.85805,0.80191,1.20825,0.000396246,0.000396246,0.000396246
79,1095.26,0.48424,0.59328,0.90132,0.73936,0.75,0.79045,0.66355,0.85805,0.80191,1.20825,0.000379743,0.000379743,0.000379743
80,1107.85,0.47937,0.54235,0.84562,0.74523,0.75,0.78667,0.6758,0.83955,0.76806,1.19624,0.000363239,0.000363239,0.000363239
81,1120.46,0.48324,0.55739,0.87634,0.74523,0.75,0.78667,0.6758,0.83955,0.76806,1.19624,0.000346736,0.000346736,0.000346736
82,1133.39,0.48306,0.58254,0.91632,0.74433,0.75,0.745,0.69,0.82194,0.75635,1.19801,0.000330233,0.000330233,0.000330233
83,1146.26,0.47278,0.54326,0.84034,0.74433,0.75,0.745,0.69,0.82194,0.75635,1.19801,0.000313729,0.000313729,0.000313729
84,1159.95,0.48433,0.55743,0.87626,0.74441,0.75,0.745,0.69983,0.7979,0.74871,1.18727,0.000297226,0.000297226,0.000297226
85,1173.72,0.48131,0.55038,0.87261,0.74441,0.75,0.745,0.69983,0.7979,0.74871,1.18727,0.000280723,0.000280723,0.000280723
86,1186.91,0.51876,0.65678,0.92958,0.74209,0.75,0.745,0.69983,0.77717,0.74084,1.18831,0.00026422,0.00026422,0.00026422
87,1200.03,0.52003,0.57751,0.92612,0.74209,0.75,0.745,0.69983,0.77717,0.74084,1.18831,0.000247716,0.000247716,0.000247716
88,1213.3,0.45958,0.53243,0.86916,0.74046,0.75,0.745,0.70463,0.75851,0.71408,1.17969,0.000231213,0.000231213,0.000231213
89,1226.14,0.47912,0.54689,0.88105,0.74046,0.75,0.745,0.70463,0.75851,0.71408,1.17969,0.00021471,0.00021471,0.00021471
90,1239.16,0.48997,0.54769,0.89562,0.73983,0.75,0.745,0.70463,0.75593,0.69897,1.17594,0.000198206,0.000198206,0.000198206
91,1252.93,0.41116,0.72075,0.8243,0.73983,0.75,0.745,0.70463,0.75593,0.69897,1.17594,0.000181703,0.000181703,0.000181703
92,1267.25,0.42829,0.72308,0.89078,0.74019,0.75,0.745,0.70383,0.82814,0.71091,1.23852,0.0001652,0.0001652,0.0001652
93,1280.83,0.39591,0.66597,0.8221,0.74019,0.75,0.745,0.70383,0.82814,0.71091,1.23852,0.000148696,0.000148696,0.000148696
94,1295.26,0.46149,0.73833,0.84125,0.74026,0.75,0.745,0.70383,0.72233,0.75078,1.13632,0.000132193,0.000132193,0.000132193
95,1309.53,0.38648,0.69526,0.84272,0.74026,0.75,0.745,0.70383,0.72233,0.75078,1.13632,0.00011569,0.00011569,0.00011569
96,1323.44,0.37495,0.66905,0.8223,0.74007,0.75,0.745,0.70383,0.72655,0.75027,1.14463,9.91865e-05,9.91865e-05,9.91865e-05
97,1336.81,0.41082,0.7339,0.82693,0.74007,0.75,0.745,0.70383,0.72655,0.75027,1.14463,8.26832e-05,8.26832e-05,8.26832e-05
98,1350.22,0.39119,0.69591,0.84879,0.74019,0.75,0.745,0.71083,0.75128,0.74411,1.17062,6.61799e-05,6.61799e-05,6.61799e-05
99,1364.14,0.40149,0.6856,0.83609,0.74019,0.75,0.745,0.71083,0.75128,0.74411,1.17062,4.96766e-05,4.96766e-05,4.96766e-05
100,1379.63,0.36969,0.67783,0.79702,0.74028,0.75,0.745,0.70463,0.77978,0.73252,1.20295,3.31733e-05,3.31733e-05,3.31733e-05
